BackMop,A,B,S
7181.5,0.00113385729491711,0.0374519620090723,34
7182.06,0.00241572596132755,0.0291812983341515,290
7182.57,0.00382518488913774,0.0328588308766484,37
7183.1,0.00206731632351875,0.0381308461849888,365
7183.59,0.00351178646087646,0.0363639397546649,58
7184.06,0.00218687579035759,0.0285791009664536,362
7184.48,0.00217179115861654,0.0329117304645479,48
7184.91,0.00071399100124836,0.034958403557539,318
7185.46,0.000970080494880676,0.0340547018374006,73
7186,0.00202139839529991,0.0344460491711895,241
7186.5,0.00171131920069456,0.0322295872805019,54
7187.01,0.00233503244817257,0.0501636924842993,64
7187.5,0.00259293057024479,0.0399593540156881,347
7188,0.00236149877309799,0.0395558501283328,355
7188.5,0.00203999504446983,0.0395519367108742,58
7188.95,0.00298797339200974,0.036348097336789,183
7189.39,0.00330608151853085,0.0383863014479478,306
7189.87,0.0036194808781147,0.0381378872940938,316
7190.42,0.00226918049156666,0.0361278159543872,95
7190.93,0.000900233164429665,0.0353712836901347,8
7191.41,0.00241617485880852,0.0338401754076282,44
7191.84,0.00245744735002518,0.0386610040441155,313
7192.31,0.00273764505982399,0.0342287834112843,18
7192.8,0.00200177449733019,0.0293431739943723,333
7193.33,0.00191009975969791,0.0352511179322998,328
7193.95,0.00765745714306831,0.044026231393218,99
7194.44,0.00396689586341381,0.0381262712180614,229
7194.84,NaN,NaN,NaN
7195.36,NaN,NaN,NaN
7195.85,NaN,NaN,NaN
7198,NaN,NaN,NaN
7198.5,NaN,NaN,NaN
7198.97,NaN,NaN,NaN
7199.46,NaN,NaN,NaN
7199.93,NaN,NaN,NaN
7200.35,NaN,NaN,NaN
7200.76,NaN,NaN,NaN
7201.24,NaN,NaN,NaN
7201.72,NaN,NaN,NaN
7202.22,NaN,NaN,NaN
7202.72,NaN,NaN,NaN
7203.23,0.00170052237808704,0.0250656367279589,322
7203.76,0.009402671828866,0.0523797646164894,41
7204.31,NaN,NaN,NaN
7204.82,0.00241633504629135,0.0323177521737913,352
7205.33,0.00184698030352592,0.0332236581792434,360
7205.81,0.00277594849467278,0.028826490820696,80
7206.3,0.00156410504132509,0.0313688878280421,68
7206.82,0.00128998048603535,0.0255598705261946,44
7207.36,0.00210273172706366,0.0318960919976234,290
7207.86,0.00225319620221853,0.0328812457931538,61
7208.36,0.00404481589794159,0.03310284546266,46
7208.84,0.00201596319675446,0.031007780538251,325
7209.33,0.00354902539402246,0.0312583760047952,6
7209.82,0.00283797923475504,0.0291521712206304,312
7210.33,0.00219639204442501,0.0293928609850506,16
7210.82,0.00151816103607416,0.0265021106849114,311
7211.3,0.00103390589356422,0.0251899425250789,46
7211.74,0.00255943648517132,0.029086589658012,52
7212.21,0.000895109958946705,0.0241700480692089,-2
7212.69,0.00134952366352081,0.0346969853465756,350
7213.18,0.00294039864093065,0.029682204592973,366
7213.66,0.00179634429514408,0.0359950220833222,343
7214.15,0.00300353579223156,0.0352218355983496,280
7214.63,0.00154286995530128,0.0382301574572921,23
7215.13,0.00372756086289883,0.0388514722386996,363
7215.62,0.00275747943669558,0.0322331154408554,103
7216.12,0.00201139785349369,0.0365445952241619,352
7216.64,0.00181206595152617,0.0320813736567895,316
7217.15,0.00491515174508095,0.0467408377056321,98
7217.64,0.00285801291465759,0.0352260634923975,9
7218.13,0.00240272469818592,0.0403527058660984,35
7218.61,0.00541865080595016,0.0378076781829198,14
7219.11,0.00575828179717064,0.0395338876793782,48
7219.6,0.00187821313738823,0.0303700977625946,17
7220.09,0.00336915627121925,0.0418641390278935,106
7220.58,0.00233159400522709,0.0412697174275915,69
7221.11,0.00330477021634579,0.0349825906256835,79
7221.63,0.00417459756135941,0.0283163841813803,312
7222.14,0.0012686662375927,0.0235936768973867,52
7222.63,0.00286189280450344,0.0383199052885175,-2
7223.11,0.00750746019184589,0.0554134941970309,74
7223.59,0.00191221013665199,0.0319409474420051,273
7224.09,0.00158063694834709,0.0317415500370165,24
7224.58,0.00261298567056656,0.0427902958666285,72
7225.08,0.00381369888782501,0.0368959223851562,102
7225.58,0.00285630486905575,0.0359712584565083,23
7226.07,0.00459069665521383,0.0328904804773629,46
7226.55,0.0026372317224741,0.0317435275452832,344
7227.05,0.00322722271084785,0.0431559697414438,55
7227.54,0.00299456715583801,0.0415838292489449,43
7228.03,0.00393965467810631,0.0335598423456152,33
7228.51,0.00179698318243027,0.0375785060847799,376
7229.01,0.00165564380586147,0.027579110270987,35
7229.51,NaN,NaN,NaN
7230.02,0.00152942351996899,0.0376743090649446,79
7230.52,0.00499327108263969,0.0509612302606305,47
7231.01,0.00209684297442436,0.0425733737647533,21
7231.5,0.00366004183888435,0.0429184722403685,335
7232,0.00167081784456968,0.0328307494831582,27
7232.5,0.000781731680035591,0.0396817186847329,317
7232.99,0.00251036696135998,0.0330555833255251,98
7233.49,0.00467497110366821,0.0384939986591538,62
7233.98,0.00190385896712542,0.0271619350338976,75
7234.45,0.00138826202601194,0.0249362442021569,13
7234.91,0.00254947319626808,0.026828465051949,69
7235.4,0.00184636376798153,0.0347266973306735,46
7235.89,0.00205779913812876,0.0314841627453764,80
7236.39,0.0014331080019474,0.0386021658778191,354
