mop_id,lat,lon,shore_normal,depth
L0197,33.70237,-118.27003,210.09,10.01
L0198,33.70329,-118.27045,197.62,8.31
L0199,33.70335,-118.27167,203.3,12.35
L0200,33.703,-118.27329,209.67,9.98
L0201,33.70333,-118.27431,209.49,10.35
L0202,33.70374,-118.2753,210.14,10.01
L0203,33.70383,-118.27642,208.96,10.03
L0204,33.70356,-118.27783,208.97,10.01
L0205,33.70333,-118.27927,209.45,10.13
L0206,33.7031,-118.28055,208.5,10.0
L0207,33.70274,-118.28142,204.02,10.0
L0208,33.70274,-118.28142,194.85,10.0
L0209,33.70274,-118.28142,185.96,10.0
L0210,33.70274,-118.28142,177.25,10.0
L0211,33.70274,-118.28142,168.97,10.0
L0212,33.70274,-118.28142,161.05,10.0
L0213,33.70274,-118.28142,153.73,10.0
L0214,33.70274,-118.28142,146.47,10.0
L0215,33.70246,-118.2821,144.53,10.0
L0216,33.70293,-118.28398,146.03,10.01
L0217,33.70222,-118.28476,146.48,10.0
L0218,33.70187,-118.28678,156.96,10.01
L0219,33.70117,-118.28893,172.03,10.01
L0220,33.69917,-118.29044,178.02,9.48
L0221,33.69917,-118.29069,171.51,9.6
L0222,33.69918,-118.29101,165.5,10.02
L0223,33.70191,-118.29422,186.51,10.02
L0224,33.70312,-118.29691,224.06,10.05
L0225,33.70457,-118.29906,249.39,10.01
L0226,33.70524,-118.30055,251.59,10.02
L0227,33.70524,-118.30055,240.9,10.02
L0228,33.70524,-118.30055,230.23,10.02
L0229,33.70524,-118.30055,219.61,10.02
L0230,33.70524,-118.30055,209.3,10.02
L0231,33.70524,-118.30055,198.37,10.02
L0232,33.70524,-118.30055,187.61,10.02
L0331,33.73756,-118.38384,146.48,10.01
L0332,33.73769,-118.38551,149.89,10.01
L0333,33.73769,-118.38709,155.49,10.01
L0334,33.73757,-118.38879,167.98,10.4
L0335,33.73707,-118.38997,172.05,10.02
L0336,33.73705,-118.39008,155.1,10.05
L0337,33.73705,-118.39008,138.6,10.05
L0338,33.73675,-118.39158,148.47,10.08
L0339,33.73615,-118.39316,164.58,10.04
L0340,33.73593,-118.39404,160.87,10.09
L0341,33.73592,-118.39442,144.79,10.33
L0342,33.73568,-118.39525,138.45,10.0
L0343,33.73523,-118.39666,152.93,10.38
L0344,33.73433,-118.39821,175.12,11.55
L0345,33.73418,-118.40068,207.99,11.86
L0346,33.73518,-118.40294,233.98,10.03
L0347,33.73552,-118.40329,225.57,10.02
L0348,33.73595,-118.40392,221.54,10.05
L0349,33.7366,-118.40551,230.06,9.99
L0350,33.73728,-118.4063,231.0,10.03
L0351,33.73734,-118.40634,219.47,10.03
L0352,33.73734,-118.40634,207.28,10.03
L0353,33.73734,-118.40634,194.12,10.03
L0354,33.73768,-118.40649,183.1,10.0
L0355,33.73884,-118.4073,178.9,10.03
L0356,33.73908,-118.40832,177.21,10.04
L0357,33.73896,-118.40936,176.34,10.05
L0358,33.73854,-118.41105,189.52,11.98
L0359,33.73954,-118.41479,239.43,9.99
L0360,33.74197,-118.41467,267.49,10.06
L0361,33.74236,-118.41491,257.96,10.04
L0362,33.74261,-118.41508,245.88,10.0
L0363,33.74322,-118.4155,241.95,9.97
L0364,33.7439,-118.4162,241.45,10.04
L0365,33.74488,-118.4174,248.45,10.06
L0366,33.74696,-118.41737,268.53,10.06
L0367,33.74826,-118.41735,275.94,10.0
L0368,33.74843,-118.41728,263.28,10.0
L0369,33.74843,-118.41728,248.83,10.0
L0370,33.74933,-118.41747,249.47,10.04
L0371,33.75118,-118.41731,270.47,10.03
L0372,33.75219,-118.41741,273.49,10.06
L0373,33.75219,-118.41741,259.54,10.06
L0374,33.75219,-118.41741,247.65,10.06
L0375,33.75244,-118.4176,238.0,10.03
L0376,33.75327,-118.41809,238.88,10.13
L0377,33.75446,-118.4184,245.12,10.05
L0378,33.75527,-118.41917,247.53,11.35
L0379,33.756,-118.41981,246.94,10.08
L0380,33.75666,-118.42045,245.4,10.55
L0381,33.75736,-118.42078,242.56,10.04
L0382,33.75862,-118.42118,250.54,10.0
L0383,33.75938,-118.42267,255.26,10.01
L0384,33.75938,-118.42267,244.64,10.01
L0385,33.75938,-118.42267,233.92,10.01
L0386,33.75938,-118.42267,223.79,10.01
L0387,33.75938,-118.42267,212.9,10.01
L0388,33.76057,-118.4229,212.27,10.0
L0389,33.76182,-118.425,236.93,10.87
L0390,33.76319,-118.42654,253.37,9.99
L0391,33.76319,-118.42654,241.87,9.99
L0450,33.80331,-118.40208,343.55,10.0
L0451,33.80442,-118.40114,346.96,10.0
L0452,33.80564,-118.40051,345.59,10.01
L0453,33.80604,-118.40035,336.99,10.01
L0454,33.80667,-118.4,332.5,10.25
L0455,33.80718,-118.39964,328.03,10.01
L0456,33.80737,-118.39953,320.34,10.0
L0457,33.80737,-118.39953,311.29,10.0
L0458,33.80737,-118.39953,302.21,10.0
L0459,33.80756,-118.39928,295.45,9.99
L0460,33.80785,-118.39916,288.99,10.01
L0461,33.80822,-118.39899,283.45,10.01
L0462,33.8089,-118.39865,281.51,10.0
L0463,33.80981,-118.39854,281.52,10.0
L0464,33.8106,-118.3981,280.96,10.0
L0465,33.81143,-118.39749,281.04,10.0
L0466,33.81221,-118.39718,280.01,10.01
L0467,33.81311,-118.39681,280.48,10.01
L0468,33.81395,-118.39628,280.49,10.0
L0469,33.81471,-118.39599,278.98,10.01
L0470,33.81548,-118.39565,277.45,10.0
L0471,33.81633,-118.39545,276.96,10.0
L0472,33.8172,-118.39526,276.58,10.02
L0473,33.81808,-118.39512,276.44,10.0
L0474,33.81896,-118.39508,276.01,10.02
L0475,33.81957,-118.39512,271.5,10.02
L0476,33.82027,-118.39509,268.48,10.01
L0477,33.82114,-118.39508,268.0,10.01
L0478,33.82201,-118.3951,267.53,10.03
L0479,33.82294,-118.39516,268.0,10.0
L0480,33.8239,-118.39539,268.97,10.03
L0481,33.82484,-118.39553,269.57,10.01
L0482,33.82574,-118.39549,269.42,10.01
L0483,33.82664,-118.39553,269.42,10.02
L0484,33.82751,-118.39565,269.01,10.01
L0485,33.82845,-118.3957,269.58,10.02
L0486,33.82941,-118.39573,270.42,10.02
L0487,33.83045,-118.3955,272.47,10.01
L0488,33.83133,-118.39495,272.44,9.98
L0489,33.83224,-118.39411,273.02,10.04
L0490,33.83312,-118.39359,273.05,10.07
L0491,33.83401,-118.39299,273.49,10.09
L0492,33.83484,-118.39268,271.63,10.01
L0493,33.83575,-118.3931,271.6,10.02
L0494,33.83623,-118.39334,261.47,11.08
L0495,33.83656,-118.39335,248.06,10.05
L0496,33.83736,-118.39343,244.13,10.08
L0497,33.8378,-118.39352,229.92,10.0
L0498,33.83827,-118.39371,215.55,10.02
L0499,33.83902,-118.39429,212.26,9.98
L0500,33.8396,-118.39512,212.02,10.04
L0501,33.83965,-118.39618,207.07,9.99
L0502,33.83979,-118.39751,211.6,10.34
L0503,33.84182,-118.39751,250.14,10.17
L0504,33.84242,-118.3981,219.71,10.14
L0505,33.84281,-118.39917,229.88,10.76
L0506,33.84333,-118.39988,186.77,10.05
L0507,33.84421,-118.40043,-999.99,10.2
L0508,33.84435,-118.40266,245.5,10.02
L0509,33.84517,-118.40346,249.17,10.01
L0510,33.84616,-118.40408,254.93,10.18
L0511,33.84715,-118.4044,258.08,10.04
L0512,33.84844,-118.40475,269.49,10.01
L0513,33.85014,-118.40482,287.95,10.01
L0514,33.85221,-118.40527,303.51,10.01
L0515,33.85308,-118.40569,299.6,10.0
L0516,33.85308,-118.40569,290.39,10.0
L0517,33.85308,-118.40569,280.79,10.0
L0518,33.85308,-118.40569,270.35,10.0
L0519,33.85308,-118.40569,259.95,10.0
L0520,33.85345,-118.40593,254.05,10.0
L0521,33.8544,-118.40627,255.04,10.01
L0522,33.85542,-118.40664,256.96,10.0
L0523,33.85622,-118.40705,256.53,10.0
L0524,33.85712,-118.40744,257.05,10.0
